geoid,num_lines,bstp_has_bkrs,shelter,bstp_bnh_cnt,school_stop,bstp_geo_id,st_abbrev,pm25,aadt,transit_comm,walk_comm,time_comm,car_alone_comm,carpool_comm,total_bike_lanes,bikelane_protected,bikelane_dual_protected,shared_mobility,taxi_capacity,limo_capacity,restrict1,restrict2,local_deliv,density_score,four_way_intersection_ratio,sidewalk_score,pfi_score,name,poverty_est,race_white,race_black_aa,race_asian,race_hispanic,utc_pct
11001003302,0,0,0,1,0,9,DC,8.65388493150685,7174.271848290982,246,143,36.8,477,131,2,0,0,0,0,0,2,2,2,0.9123674428571429,0.189861215,0.07244104928571429,1.2861158192857143,"Census Tract 33.02, District of Columbia, District of Columbia",10.9,1142,903,85,4.7,16.993125
11001003400,0,0.05,0.15,0.85,0,20,DC,8.66361863013699,5260.2403361251745,875,401,30.8,415,31,23,0.05555555555555554,0,2,0,0,4,4,4,0.740325305882353,0.21640249411764706,0.0761782411764706,1.132773894117647,"Census Tract 34, District of Columbia, District of Columbia",15.7,1349,3178,108,9.4,14.250487804878048
11001003500,0,0,0.06666666666666668,1,0,15,DC,8.66386438356164,5749.629210030372,577,501,27.3,429,137,16,0,0.1818181818181818,0,0,0,0,0,0,0.70802722125,0.15991741375,0.077000194375,1.08254680875,"Census Tract 35, District of Columbia, District of Columbia",12.5,1118,3803,291,5.7,13.097777777777779
11001003600,0,0,0,1,0,7,DC,8.65846575342466,5088.718737120367,1555,325,28.9,698,222,28,0,0,0,0,0,0,0,0,0.64547051,0.11590763916666667,0.0772,0.9816141208333333,"Census Tract 36, District of Columbia, District of Columbia",7.8,2527,1281,569,13.2,18.274166666666666
11001003701,0,0,0,0.33333333333333337,0,3,DC,8.65854547945206,5816.979096078395,435,241,22.7,377,66,23,0,0,0,0,0,1,1,1,0.62767632125,0.08142493,0.076515415,0.98423558625,0,0,0,0,0,0,23.384
11001003702,0,0,0.6666666666666666,1,0,3,DC,8.65854547945206,4888.855907412149,690,173,28.3,99,103,13,0,0,0,0,0,0,0,0,0.788370138,0.106069322,0.0772,1.1137480339999999,0,0,0,0,0,0,17.938
11001003801,0,0,0,1,0,2,DC,8.65930493150685,5355.302611490566,245,310,31.3,195,0,6,0,0,0,0,0,1,1,1,0.8294204737499999,0.171223305,0.07207835875,1.2470214474999999,0,0,0,0,0,0,23.155
11001003802,0,0,0.6,0.8,0,5,DC,8.65930493150685,5957.449390751628,795,471,30.8,284,33,12,0,0,2,0,0,3,3,3,0.708479305,0.1695927975,0.0772,1.0845048316666668,0,0,0,0,0,0,14.161818181818182
11001003901,0,0.2,0.2,0.6,0,5,DC,8.66464219178082,5882.638179686068,775,263,29.7,312,38,26,0,0,2,0,0,1,1,1,0.8642006433333334,0.17030294444444444,0.07668736444444445,1.0591265377777779,0,0,0,0,0,0,27.575
11001003902,0,0,0,0.5,0,2,DC,8.66464219178082,4124.221310567559,367,162,34.8,39,37,26,0,0,2,0,0,0,0,0,0.7628670525,0.191913685,0.0352935625,0.769186453125,0,0,0,0,0,0,56.322
11001004001,0,0,0.5,1,0,8,DC,8.65871808219178,4533.141475435375,1077,629,29.3,845,52,26,0,0,2,0,0,3,3,3,0.797266003,0.1926984515,0.0642253855,0.9279229275,"Census Tract 40.01, District of Columbia, District of Columbia",0,3530,219,150,13.9,32.97578947368421
11001004002,0,0.125,0.375,0.875,0,8,DC,8.65254821917808,5212.438770075544,853,685,27.2,329,63,1,0,0,0,5,0,6,6,6,0.8004625177777778,0.18361654333333333,0.07667223333333334,1.1816037288888888,"Census Tract 40.02, District of Columbia, District of Columbia",0.4,2896,94,135,7.2,15.22625
11001004100,0,0,0.15384615384615385,0.7692307692307693,0,13,DC,8.64785150684932,7412.499351735533,316,263,26.4,222,19,6,0,0,0,2,0,8,8,8,0.7608709214583333,0.16179875729166668,0.057897976875,0.87061390625,"Census Tract 41, District of Columbia, District of Columbia",0,2110,137,190,9,39.06044444444444
11001004201,0,0,0.5714285714285714,1,0,7,DC,8.65218109589041,5973.974028791552,977,759,33.6,510,62,55,0.055555555555555546,0,2,0,0,4,4,4,0.8329335146666667,0.14216672733333333,0.07481644600000001,1.226346908,"Census Tract 42.01, District of Columbia, District of Columbia",2.9,2976,363,129,6,24.698
11001004202,0,0.33333333333333337,0.6666666666666666,1,0,3,DC,8.64993698630137,6263.426821102041,527,570,22.7,215,0,32,0,0,1,0,0,13,13,13,1.141636046,0.116446574,0.073427056,1.5078908315,"Census Tract 42.02, District of Columbia, District of Columbia",0,2146,42,144,13.9,19.08058823529412
11001004300,0,0,0.5,0.9,0,10,DC,8.65863561643836,5669.241912108579,918,586,28.9,616,44,59,0,0.1999999999999999,1,0,0,6,6,6,0.8259885393333334,0.11538836400000001,0.07638822466666667,1.2093804413333333,"Census Tract 43, District of Columbia, District of Columbia",6.8,2540,950,156,11.7,19.712666666666667
11001004401,2,0.2857142857142857,0.14285714285714288,0.7142857142857143,0,6,DC,8.65429808219178,6268.053848815256,763,404,29.4,428,105,29,0,0.07407407407407411,1,0,0,2,2,2,0.7917898452631579,0.1923714505263158,0.0772,1.175050647368421,0,0,0,0,0,0,14.137272727272727
11001004402,0,0.07692307692307693,0.4615384615384615,0.9230769230769231,0,13,DC,8.65429808219178,4346.462921379426,333,364,25.3,503,23,27,0,0.1904761904761904,0,0,0,10,10,10,0.840392047368421,0.19381044631578948,0.07605748315789473,1.251340607368421,0,0,0,0,0,0,18.79842105263158
11001004600,0,0.08333333333333333,0.16666666666666669,0.8333333333333334,0,12,DC,8.65663369863014,9209.78765051621,483,200,28.8,763,46,40,0.2758620689655172,0,0,0,0,9,9,9,0.8618249675,0.13095217392857145,0.0725475875,1.127050465,"Census Tract 46, District of Columbia, District of Columbia",14.7,1318,1347,133,6.7,16.40290322580645
11001004702,0,0.09999999999999999,0.3,0.8,0,20,DC,8.63994246575342,21495.706942431494,487,833,23.7,667,24,5,0,0,2,0,0,0,0,0,0.9306886529166667,0.053654894583333335,0.044862377083333335,0.9595421225,"Census Tract 47.02, District of Columbia, District of Columbia",10.7,1661,1029,192,7.7,9.32
11001004703,0,0.75,0,0.25,0,3,DC,8.64499890410959,34073.26769725034,599,467,26.9,418,126,16,0,0,0,0,0,0,0,0,0.8076521714285715,0.024677415714285715,0.05039406857142857,0.8470280928571429,0,0,0,0,0,0,10.2325
11001004704,0,0,0,0.8333333333333334,0,6,DC,8.64499890410959,9720.021368034595,101,1,0,0,0,19,0.2222222222222222,0,0,0,0,0,0,0,0.66887852875,0.04128658875,0.06548551375,0.63989799,0,0,0,0,0,0,10.733333333333333
11001004801,2,0,0.21428571428571427,1,0,14,DC,8.65567287671233,5613.357532221466,367,253,27.1,400,40,33,0.13793103448275862,0,0,0,0,2,2,2,1.0393290972,0.1545977504,0.072784524,1.4204924844,"Census Tract 48.01, District of Columbia, District of Columbia",1.6,1255,988,259,7.9,18.61
11001004802,0,0,0,1,0,5,DC,8.64896246575342,31117.90500096384,340,699,23.5,454,49,12,0,0,1,0,0,12,12,12,0.8099201511764706,0.07879317176470588,0.06149501411764706,0.8495611423529412,"Census Tract 48.02, District of Columbia, District of Columbia",19.4,1465,1606,334,7.7,16.13058823529412
11001004901,0,0.28571428571428575,0.14285714285714288,0.7142857142857143,0,14,DC,8.64976383561644,5591.04221680385,401,642,27.4,443,239,51,0,0.29411764705882354,1,0,0,2,2,2,1.116172575,0.10525855818181819,0.07124708272727273,1.5277563540909092,"Census Tract 49.01, District of Columbia, District of Columbia",18.6,1372,1034,186,14.9,20.0156
